text,sentiment
I received this and the frying pot has a dent and a small whole in it. guess what the geese will come threw and cause a fire. Why would you sale something you know is defective because you already been in the box and tried to re wrap it. I want buy again.,negative
The sound quality of these ear buds is very terrible.,negative
"too small for my 10 year old son, will have to throw away :(",negative
"Unfortunately this product just didn’t work for me. The item required 2.4 speed, my Modem is 3.0 but couldn’t find the smart plug, Disappointed.",negative
"Would definitely recommend this book to readers who like strong female characters and handsome, caring, really hot detectives. Excellent book.",positive
"I really like the material on this case and it does what it's suppose to do, protect the iPad. The problem is that the case doesn't stand up well and even if it's on a flat surface, such as a table, it isn't standing well.",neutral
These are soft and comfortable but not as big as they appeared to be.,negative
So easy and such a bargain price!,positive
"For the price, I was expecting much more. It also has a short life. Not recommended.",negative
Holds up ok and does a good job.,positive
"I have received a lot of compliments on this shirt. I fits well. Just be aware it is a SHORT crop top, I would say it rests about three inches below the end of your chest. I would buy it again for sure!",positive
So far it seems to be a great reel. I've only had it for a couple of weeks now so we'll see how it stands up in the long run but so far I think for the price point it is a very good reel.,positive
They did not send handle bars!!!,negative
"Very comfortable, love the color",positive
"Quality of this belt clip is superior without restriction. My Samsung 7 with hard case fits in the Belt clip easily, with room to spare.",positive
"I just received my chair cover. The color is true to the picture and it fits great !!! It seems like I have a new chair. Actually, I was not expecting it to look so good , I am very impressed.",positive
"Mine slipped on very easily. That was nice; but it feels like it doesn't fit correctly - like it's loose. When I use the Pencil with it on, it almost feels sloppy. I like that it works with the tip cap on, and that it still attaches and charges through the side of the iPad. But the looseness bothers me. It might need to go back to Amazon.",neutral
Product is working well and in perfect condition. Packaged nicely. Also came with a charger,positive
"This was my first time reading a book by this author. Very interesting. Liked the characters. But, I didn’t like the ending because it was unfinished. Other than that, I liked the book.",neutral
Day 1: usually I have combo skin but the current cold weather has my face dry and flakey. Very excited to see if this helps with keeping my face moisturized. Day 3: This makes my face very oily and I don’t like how my skin feels. I don’t touch my face through out the day but it FEELS dirty:( I want to wash it but I know I shouldn’t mess with my current regimen more than I already have. Will update.,negative
"I tried every possible SEASONING possible for these nasty little pans. With or without seasoning, everything sticks, sticks, sticks.",negative
"Very solid and great looking lamp, it comes with bulbs and the dimmer switch is high quality, my only issue was that some of the paint inside the light was peeling off, not really noticeable, but its there and it might get worse at time goes by",positive
"I’m giving it 3 stars because I ordered this set in another color and loved it. I love this scarf but the beanie is not slouchy like the other set or as advertised. I really wanted the slouchy look. So I can’t even wear the beanie. The tag is also dead center on the front, why would I want the tag in the middle of my forehead?",neutral
Made in PRC ... they are not made here. As soon as I opened the box I saw that they are covered in scratches. I can’t use these in my candles.,negative
"Disappointed in this gate. Overall it’s exactly what I was looking for, purchased to keep my toddler out of the kitchen. The install wasn’t exactly a breeze, but wasn’t terrible either. Was actually really satisfied the first 2 days - however by day 3, the latch is already sticking and you have to jiggle the handle/button it to get the gate latched. For the price it definitely should’ve lasted more than 3 days. So now I have to decide if I want to send back or not, which is extra annoying since it was a hassle to put up in the first place.",neutral
"Overall, this movie is about 5/10. I assume this is a low budget movie, since some shots were reused multiple times, especially the gun fight at the end. (You can see the same policeman was deployed from the helicopter 3 times, and two other policemen could be seen shooting from behind the barrels at least twice). The acting is not very good, especially how the actors talk.",negative
The 'sterling silver' turned a copper color within a week or two. I wouldn't order this again.,negative
"Quit working within 3 months. Cables pull from housing and fail to be recognized or power after a month, some not at all.",negative
The thread is great. Trying to find the end of the thread is impossible.,negative
Ive had this for a few weeks now. At first it worked very good but then I plugged it in the other day and it just lets out on long loud beep and wont turn on. I can mash the ionic button and eventually get it to work but that's ridiculous. Only a few weeks of use and it already doesn't want to work.,negative
"reduced the water pressure even under the non filtered which is a bit annoying when doing dishes, but encouraging me to drink more water is worth the minor annoyance and more convenient than a brita in the fridge. A little hard to see the indicator for when to change the filter.",neutral
may have to remove foil for your badge to work with newer HID style,positive
These bands were just a little too wide to fit in my fitbit versa light.,neutral
Its a mess! It comes in a tiny box all tangled & there is no curtain..Setting switch don't work either BIG THUMBS DOWN!,negative
"This was the first novel I have read by Rinehart, and though I read only a few mysteries a year, she is an author that I will return to.",positive
Very cheaply made. Runs small.,neutral
"I plugged the cord into my Galaxy S9 and I kept getting a message to use the original charger which came with my phone. When I plugged it in overnight, my phone went from 84% charge to 61% charge by the next morning.",negative
This case is very light but completely protective of the phone. All of the openings built into the case allow full access to all the phone's features.,positive
"Tastes good, works well, wayyy to hard on my stomach.",neutral
Getting use to the weight,neutral
The box came with a broken corner idk if it happened during shipping but this sucks Im going to try and fix it myself. The box has a nice fit in my 2001 jeep wrangler,neutral
"I wanted atomic time keeping without DST. Unfortunately, you cannot turn off DST without turning off the radio signal mode with this clock. So rather than bothering with the return hassle, I will keep the clock in non-atomic mode. Most clocks give the option of turning off DST but this one does not. If others can design that option, why can't Marathon? Two stars (everything else is fine).",negative
"I love the convenience of being able to just place my phone on this charger without having to fumble with cords, BUT if you own an iPhone X and don’t use a case, you may wake up to an uncharged phone in the morning. Since the iPhone X has a glass back and the charger also appears to have a glass top, if the charger is not on a 100% level surface, the phone will slowly, but surely, begin to slide away from the charging “sweet spot” on the charger. I have temporarily remedied this by placing a business card between the phone and charger. Ideally, it would have been nice if this charger had an anti-slip surface.",positive
The taste isn’t the best but to be expected with this type of product. But definitely started feeling better after regular use to help maintain a healthy balance.,positive
My daughter loved it. She takes it to school everyday. Good quality,positive
The make of this is so poor. The motor died after 1 year an caused my system to overheat. Do not buy this product.,neutral
"The glasses definitely looked as pictured and function ok, they are quite large glasses though. They look like I’m wearing safety glasses",neutral
"These work just fine but they don't just snap in to lock, you have to use the key. So I will have to purchase something else eventually.",negative
The color is nice and I wear it all the time when it's raining. But it's a little too thin for me. It was also a little tight in the chest area.,neutral
I am so disappointed and upset about this fishing rod. This ring is supposed to be on the rod but the glue or whatever came off and now it just loose.,negative
"The lamb I received is defective. I expected a small amount of ""beans"" - sounded perfect. However, the lamb that arrived has a modest amount of beans on one half of the body - and NONE on the other. The difference is obvious - and because I purchased this as a gift I am returning it. Sigh. Trying to decide if I will re-order it - is this typical? I tried to manually distribute the beans but there is apparently a seam inside that prevents them from being distributed more evenly. It is very cute and I purchased it appreciating that the eyes, etc. are stitched - nothing sewed on that could be a risk to little ones.",negative
Nice raised texture and contrasting tone to my warm color scheme.,positive
It is a nice piece but I think the cost is more then what you get. The wood feels like a cheap plastic coating on top and all the parts where not used but came with no instructions. It works well for the time being.,neutral
The Portable Charger gets extremely hot when charging. This is not just a warm to touch as you would expect with charger. I do like the fact that the cable that is included with the charger is used to charge the portable charger and also an I phone. This is very convenient. I would not buy this product again.,negative
Each one only lasts a couple of weeks The rubber(?) gets too soft,negative
"First, I can’t believe Amazon would sell something without mentioning it takes some kind of European bulb. No where in the description state bulb size. It wasn’t until I installed and tried to put a candelabra bulb that didn’t fit. Once looking a customer reviews that talk about the unique size bulbs but again never say what size or style. JUNK. DO NOT BUY! I’m currently on hold with Amazon and even they can’t find out the bulb size.",negative
Love this blanket!! It is so soft and the perfect weight. We use it all the time.,positive
"Lasted almost a year, then started peeling off",neutral
I use these for mixing epoxy they hold up to the stirring nicely and flimsy enough to pour the epoxy out onto the tumblers. Easy to read markings as well.,positive
Installed these switches and connected to my network. They work great. They can be turned on /off by touching the blue dot on the switch or Via the smart Life app.,positive
sent it back color isnt that bright as displayed on photo,neutral
"Bought this for my car so that my phone would charge while being used for navigation on long journeys. It charges well for although not, but having driven for 7 hours recently, with the phone on the whole time, it charges enough! Also like the fact that it's wireless charging as it's one less thing to faff about with when setting off and be used with different phones. Worth a bit extra for the charging functionality- very happy!",positive
Didn't work like it says...the water is hot enough to burn your skin but the wax didn't melt. To me this was a waste of money so I won't buy it again.,negative
Blue coloring ran and stained my boats seats,negative
Very soft. Hard to use for projects. Nice for putting in packages.,neutral
Perfect fit! Definitely makes the car look more sporty! Everyone with a 10th gen si should get these.,positive
I am disappointed that the black fades out. Black is the dominant color in the fabric and the black fades out.,neutral
"Bluetooth is marginal at best. If the display is in the sunlight it's hard to read. If you are in your house, and depending on the distance, you will loose app readings. Trust me it isn't that far when you loose connection. The max distance is 20 yards with direct visual of the unit before you loose bluetooth connection. errrr.",neutral
The money clip wears out quick and the top pocket side were you put photo I’d had same brand but too different types of wallets,negative
I will never order this again...it was a waste...I am going to be sending back to the company,negative
I gave this 3 star because they are not as thick as I would like them to be. You get a lot of socks for your money but quality is not as good because they will wear out quickly and I throw booties with holes away in the trash so bit by bit they will wear out and end up in trash.,neutral
"This toilet brush is well designed and seems to be well built. One reviewer indicated problems with the closing mechanism, but ours works fine.",positive
"The last update caused a bug in loading. I try to load into my family guy game and it tells me to update to continue. Problem is I have the update it takes me to. I haven't spent a whole lot of real world money on currency, but I've spent enough to be disappointed in having to start over or just be unable to play. I have already tried uninstalling and then reinstalling the app. I play through the tutorial only to have the game tell me I need to update it to continue with my connected facebook save. Please figure out a fix. This is not the first time it has happened. I stopped playing months ago because of the same update issue; had started up only on a whim recently, just for the problem to crop up again. Also, you really should update your developer information because contacting you took a bit of searching on my part. Your websites family guy link takes you to futurama. All of my emails to the provided support emails are bouncing back as spam. You take money without providing adequate avenues for complaint when your game doesn't work properly. Rude. Just rude.",negative
These books are awesome just read it.,positive
I ordered XL in Black but a 2XL was sent. In the process of returning the item and waiting for the right size to be shipped.,negative
"I got these headphones very recently (about a month ago) and have been loving them. However, about two days ago they started acting weird and the sound became super tinny so I adjusted the equalizer which provided a subpar fix. Yesterday and today though it keeps giving me error messages, disconnecting from my phone, and cutting out my audio when I’m listening to music or on a phone call. UPDATE: after my previous review Pioneer reached out and they were super helpful in getting me a replacement which has been working absolutely wonderfully since I got it",negative
I didn't know what to expect for just under $10 but I really like this band! I was sweating under the silicon band that came with the Apple Watch. This band breathes and the magnet is VERY strong!,positive
"It was a little crushed when it arrived as it was shipped in a plastic envelope instead of a box, but I was able to re-bend it into a globe shape with my hands. The spacing between the bars is a little large, but is fine for romaine leaves or heads of cabbage/cauliflower. The two halves snap together at four points. Easy to clean, easy to hang. Good way to give a little enrichment during times they can't/don't want to be outside.",positive
"Takes a while for the reader to follow where the author is going. Once you catch on, this is a good novel that is creative but could go a lot farther.",neutral
"A very brief overview of Wicca. This book can easily be read in one sitting. It offers a quick look into Wicca, its celebrations and rituals, its history, and ways to continue the path if you wish. The book makes Wicca very relatable to those who are unfamiliar with the religion. However, you must be open minded to understand the Wiccan people and understand the book entirely. But, this is not a question of whether or not you agree with the ideas of the Wiccans, but it does give much insight into the Wicca religion as a whole.",positive
"Pros: simple application. Buttery soft, matte finish. Cons: strong smell that lasted a few days. Wasn't actually ""clear"". Turned my clean white milk painted dresser into a dirty whitish color.",neutral
"I had to read some other reviews to make sure I wasn't crazy - one of these stoves worked great the entire time it was cooking rice and then steaming vegetables. Unfortunately I brought the other stove of my two-pack on my backpacking trip! It made for a frustrating breakfast as it would light and stay ignited for 30 seconds to a minute before fizzling out. I had plenty of fuel and could hear it sloshing around. Took about 3 or 4 tries to get the stove screwed on just right and then it stayed lit long enough to boil water for coffee and a meal. Looks like other people have had similar problems. I would think it was just me, but I think if I'd threaded it wrong, it just wouldn't have started at all! The price is definitely right and it seems like when it works, it works great (boils water quickly) so perhaps still buy but make sure you test it out for a good five minutes before relying on it for meals or water in the backcountry.",neutral
"Okay overall. It's good for walking around, but not for they gym. It needs an air pressure valve because in the gym when you want to drink more quickly it feels like your head's going to implode from sucking so hard.",neutral
Need more work. Does not fit as described,negative
We have a rack to lay full bottles at an angle til we need them. The cap doesn't fit right so it leaks which makes it kind of useless :/,neutral
Only received the spray applicator! Did not receive the product!! Please advise!!,negative
This sauce tasted good but it arrived shattered. I threw the whole thing away. I ordered another bottle and I am hoping for the best. If it arrives broken i will escalate.,negative
"Not very easy to use, feels poor quality, the plug is not very strong",negative
"I love these nesting boxes, but my chickens hate them! I have had them up for three weeks and they have not even used them once. I even put them in there but they just jump out. I tried putting fake grass in them,Nope! I put a curtain up, Nope! They just refuse to use them. I have 22 hens that just started laying. Their favorite box is a roll away that I made. I love these boxes! They are easy to keep clean. the dirt falls through and what doesn't, you can just slide the bottom out and clean it. Its too bad that they hate it.",neutral
"Not sure this is my fault or the pillow's, but I slide down this at night and by morning I am essentially flat on the bed, which does nothing for my reflux.",neutral
To early to tell working on the replacement bottle first bottle was open when I got it,neutral
Nice. A bit pricey. If you live in TX or near there you may get a better price at a local place.,positive
3 star for product quality - have low expectations 1 star for delay in delivery - the package was “lost” I read the reviews and they helped in using the tumbler. The product delivers pretty well Target users: for kids - NOT for amateur rock enthusiast (those need a better quality / more expensive product) Assembly: super easy Noise level: tolerable considering you’ve got rocks tumbling inside Defect: the cover of the yellow case may have small Leaks; you have to make sure to align the lines well We decided on low key use and did not run it continuously especially given reviews of motor dying fast. Couple of hours each Day is as much as we are going to push it; will take ages to get to the gem quality but so be it :),neutral
thought it would be more detailed. looks simple. I think my 10 year old will enjoy it but way to simplistic,neutral
I like the gripper part. It worked well on Reds and black drum. Even worked with a sheep’s head. But the scale is hard to read. Granted I am 64 and wear glasses. Tool is very nice,positive
Love these hoses. I have a large area to water and am always dragging hoses. I like that these don't kink easily. So far so good.,positive
"I ordered one set (LG) and received a set of plain underwear that fit well with sufficient give/flexibility. Having liked the first set so much I ordered another (same size) and received a set of patterned underwear (not something I’d pick out but it was selected for me through the purchasing options on here) and they feel at least a size smaller than the first and with zero give/flexibility. I have other underwear in smaller sizes, but the major lack of flexibility in these in addition to them being extremely small are reasons I avoid wearing them. I’d give a lower rating if the first set weren’t so great. Without going into great detail, they’re so low in the front there’s no modesty to be had even if I wanted any. The other set is fine though! I’ve unfortunately missed the return window and while I’d like another plain set like the first ones I have I’m too nervous about being duped again.",neutral
Hard to work with. By time you remive kt from backing.it's twisted up. Seller needs to cut up in small pieces. Mine was a disappointment. Need bigger pictures.,neutral
"As described. Purchased for my husband, he loves them. Very durable. Great for the price. Must buy",positive
Use it daily! Great machine and easy to use,positive
This water Flosser is great!! I have deep pockets so my dentist recommended a water Flosser no bleeding when I floss. It’s easy to use great for traveling. Great Flosser highly recommend I can’t wait to go back to the dentist and share my experience,positive
Does the job but a bit flaky. Don't really like the little rollers under the feet.,neutral
This hat fit somewhat large and the brim was hard to shape.,neutral
"I hope it gets better when the main characters get out of Philly. Also, the story needs proofreading and editing. There are so many distracting errors. For instance, when they are attempting to rescue Becca, Cal tells his daughter to stay in the vehicle. Then it says he hands the key to BECCA, but it should say TRINITY.",negative
It got the job done but it would stop cutting after a few minutes. It is very light weight and easy to use.,neutral
I like the simplicity of this basic model. If it was a little louder it would be perfect!,neutral
Product does not fit XC90 as advertised. The plug portion at the top is much bigger and the stick itself is almost 6 inches longer than stock. Item also does not qualify for return. Quite upset with this purchase. Buy once cry once and just get a replacement at the dealer.,negative
The product does nothing it claims to do. The weights in this blanket shift around. It is tedious to change the duvet covers. Biggest waste of money I have ever made.,negative
Looks nice but very small in depth only fit a couple piece of clothing in each drawer. Would recommend for a childs room....,neutral
"I did not use product - color did not match my skin - instead of blonde it appeared to be red. However, the convenience of the brow dressing and consistency were very nice. Also packaging is attractive . I am hesitant to try next darker color as I fear it will be too dark.",neutral
"I bought this phone for my mother, and she has had nothing but problems with it. It doesn't hold a charge, calls don't always ring, texting is impossibly complex, etc. After 2 months, I am discarding it.",negative
Not the thickest of table cloths and shows some stains after wiping but still in decent shape to use at least one time.,neutral
"My night started out great with my inflatable unicorn costume. However, 30 min later my motor died. My external battery pack was fully charged and would charge my phone after so it’s not my battery. The motor just died. 30 min into a party. Since I had no backup I looked like an idiot in the hat but just the shorts I was wearing under. Luckily I got one picture to prove that I was ever wearing a costume to the people giving me strange looks for the rest of the night. Total fail. I’m super disappointed. And I would love a full refund.",negative
"Thin and cheap. Not at all what I expected, but I'm not going to knock it too much because it was cheap enough.",neutral
"These seem pretty nice and I love the fun colors, but they are too short. I like leggings that go over my ankle and these are WAY above that. I'm 5'8"" and have only a little bit longer than normal legs. If you like above the ankle leggings, these would be great.",neutral
I love the looks of it but the sprayer leaks a little after you use it. It’s frustrating. Something must be stuck or something,neutral
"Hello, I returned your shoes since first of June and I don't understand why so far nothing happened. I am going to complain to the Amazon about what happened and I still waiting for refund.",negative
"This light fixture is perfect. Small, but bright light and very fashionable for my small kitchen on house boat. Very happy with this purchase.",positive
The lens popped out before even being worn!! :(,negative
"This is supposedly a higher capacity than original, but it definitely doesn't behave that way. Actually runs for less time than the old oem battery that it replaced.",negative
I enjoy this series. It is pretty light reading but includes interesting cultural insights into colonial India as likable characters.,positive
The foam is too thin for flowers. Dont like some colors in the pack specifically black flowers.,neutral
"I had hoped I could purchase 2 Oz sample but since I couldn’t, I took a chance. Omgosh such a strong odor! I’m not sure what I’m going to do with it. Very disappointed.",negative
The outfit was okay. The leggings and the shoes were very cheaply made. I just decided to buy tights and dress shoes for her. I wouldn't recommend.,neutral
"Once this is on, it isn’t coming off. It is not compatible with dock type chargers. It is also slightly bulky, but not as much as one of the old Otterbox types",neutral
"I like this cat food and so does my cat. The box came sealed but inside the package was cut open as if with a box cutter. The cut to the package was from side to center. It was not from top to bottom, like the opening to the box, so I know I didn't cut it. I could hear the food loose in the box before I opened it. Amazon will not refund money until they received the return. I'd need to reorder immediately for it to arrive in time. I don't want to be out of pocket cost of bag X 2. In short, don't order in a time crunch. Amazon seems to have no interest in reporting the damage to the shipping facility for quality control measures.",negative
I don't have the phone no longer,negative
Scammers used an Amazon number. Don't buy gift cards online! Cannot trust it,negative
"I'm am mostly satisfied with this phone case. The only negative is the inside material of the case stains easily, especially if it gets wet in any way, even from sweating. Otherwise this is a great product as it holds my phone securely and the magnetic closure holds up throughout movement!",positive
Perfect for use with my sleep machine.,positive
Awesome product! Works really good in low pressure . And connectors are easy to plug into my water outlet in the house.,positive
"As others have noted, production is flawed. Terribly sharp edges. I hoped this problem had been remedied by now. Nope. Stay away.",negative
Installed as expected. Time will tell about durability,positive
"Does not work as described, too many issues in setup process, did not work as intended with two computers. Very frustrating. Tech support not helpful at all.",negative
What I like is so easy to use,neutral
Wasn't what I expected but found use for it,neutral
"I liked how the device was easy to turn on and adjust the volume. The touchscreen was easy enough to maneuver. I liked how the icons were east to understand and the cords were easy to connect. However, when I tried to put music on it, nothing happened on my computer. I am using a MacBook Pro, Catalina is the OS. So while it might work for windows, I wouldn’t recommend it for Mac users.",neutral
It was a mini workout putting this on. Don't buy this. The shear force required to put this on your S5 is not worth it with all the newer phones and cases you could choose from,negative
"Terrible, Worked poorly, had to jiggle the plug. then fell apart",negative
I liked the product. 4 stars because I found it hard to fold it back :),positive
This is not a complete shell. This is only the back half of shell with innards (less the electronics). Also come missing panic button. Sending back.,negative
I have a 24 inch waist and even the small didn't fit me... Frustrating because I really liked the material,neutral
Piece of crap. when trying to pick a pet every button did the same thing and no way to pick a pet.,negative
"I love the look of these, but they are too loose/too big on the arms(?). I put bread ties around the hinges to make them fit better. If you have an unusually large head these are perfect. Unless this pair is just defective.",neutral
"I love these pins. I bought three more after I recieved my first two (which were each different), but when I got the three new pins, they were all the same one. Luckily I have two friends who like this game so I can share the pins with them, but it was kind of a bummer. :(",neutral
It worked great for the first four months and then it no longer turned on.,negative
"Nice function to fold up, but a bit uncomfortable to wear",positive
They are beautiful. The only problem is that I pay 3 times more than their price to blow them.,positive
"As with many other reviews, I have received a kit that definitely looks as if it has been used. I did not purchase this as a refurbished or used item. While all of the parts are purely mechanical, and a few scratches don’t bother me, it is worth noting that for the price I expected a new in box item. Cannot and will not recommend this product or brand in the future as it seems I cannot trust their company to provide new in box items.",negative
I received this travel pillow a few weeks ago and used it on my travel to Canada last weekend. I was amazed at the softness of the cushion and the other accessories it came with. The eye mask was a great touch for the plane ride. I will however say that I wish it had more structure because it is bulkier than your regular travel pillow but this is definitely better than the smaller ones Out there,positive
Kept it but wasn’t impressed very cheaply made,negative
Returned. Wasn't quite as expected. Not my style,neutral
"NOT sour! I got this because it was supposedly SOUR gummi candy (I'm a Sour Patch Kids lover) in a nice sized package. I ended up giving it to someone else after trying a few pieces and discovering it might as well have been labeled not-sour-at-all gummi candy. Keep in mind I don't like Warheads-type sour, but these looked nice. How wrong I was!",negative
Did a cricket count. There are four crickets in each box :),neutral
"Had posts, good stones. I have to find someone to reset the stones. Posts are flimsy.",negative
headset not working. want to replace it but past the return window? I purchase this type headset all the time and have not had this problem. Haven't had it 2 months. Any chance I can get a replacement?,negative
"The head support bands are nice, and great quality. However, the straps that go around the back of the carseat does not hold the head support in place. When driving around and hitting bumps, etc. the head support just slides up then kids head falls forward out of the support eventually. I have the Evenflo Chase LX carseats.",neutral
Very effective cream love it I will order more,positive
"Adds extra layer that helps pressure points. However, it is a bit too soft and not as easy to move around.",positive
"The girl in the photo holding this purse must be a midget. The purse looks way bigger in the photo. Purse seems way smaller than I expected.However, i do Love the color and material.",neutral
"Sounded like a great idea and product. Excited to have my assistant coaches over for a whiskey and serve them with baseball ice. Didn’t happen. First they arrived late and then when I filled them up, set them in the freezer. 2 days later opened up the freezer to find a sheet of ice and 1/2 baseball cubes. Didn’t hold water and leaked out the sides. Tried them again to same result. Even filled them up and set on the counter on paper towels to see if I could determine where they leaked from. Ended up with half full molds and wet paper towels. In the trash now. It was a good idea just missed in execution.",negative
"Just place it on the stand and it charges like a plug-in, except it’s wireless. Quick and convenient and no more dealing with cords, looks neat wherever I place it.Love it!",positive
They are so cute but much harder to empty and clean than their round metal predecessors.,neutral
"These bottles are just OK, nothing special about them. I guess I overestimated what 16oz was and wished they were a little bigger especially for the price you are paying. I just feel these should be no more than $10 for what you get. I do however like the funnel that was a genius idea to include. Now we will just see how long they hold up.",neutral
Belt buckle keeps coming off,neutral
"The pillows are the color and size I was looking for. Although, they seem to fading within one month. They also have a white zipper and obnoxious tag that I wish was not such an eyesore. Overall though, I'm happy with my purchase.",neutral
Just as I thought it would be.,neutral
"Actually only 1.5 liter max capacity, which is misleading. Sometimes it's hard to open the lid. Other than that, it does look good and boils quickly and I like that you can set the temp and also decide whether you have the keep warm function or not",positive
"SO cute! and such a great price! I was in need of a new black leather bag for work and this has fit all the criteria for me! It holds a lot, is super comfy on my shoulder and I love that there is even an inside pocket! The perfect spot for me to throw my keys so they don't get lost in the other things inside the bag. Highly recommend if you don't want to break the bank for a simple black leather tote.",positive
"great price for the amount of peppermint bark you get, but the description never stated that the goods were a mixture of milk chocolate and dark chocolate peppermint bark pieces. As a family that prefer the milk chocolate peppermint bark, this was disappointing as the dark pieces will not get eaten and therefore the price is not just a great price after all if you are wanting just milk chocolate peppermint bark or just dark chocolate peppermint bark.",neutral
"Got these for my wife to help with diarrhea. The package recommends something like 20 capsules per day. I couldn't get my wife to take more than four, and that apparently wasn't sufficient. The quantity of pills required is just a lot to handle. So I don't think these are effective unless you can tolerate taking five pills four times a day.",negative
Very cheap. The bumper on the phone doesn’t sit above the screen. So very little protection.,negative
Seems good. A little slippery with carbon fiber option,positive
"These are great for pet hair, they pick up like a magnet. The only thing I should have looked at is the size. I end up using two on my swifter because these are half the size of the sweeper I have. I still use them and they are great. I'll order a larger size next time.",positive
I got the wrong size I received an Xs I have the Xs max.,negative
Love this coffee with my French Press. It’s very smooth with no bitter aftertaste. Already ordered my second bag.,positive
Depends on what materials you are shopping for. Solid item.,positive
"Bought this as a gift, the recipient liked it, but the blue is definitely faded.",neutral
I have owned my Panasonic for over 4 years and it is still going strong. I use this replacement as needed but it is just too costly.,positive
Really cute! Definitely worth the money.,positive
"A couple I knew of because of Marina, as she had been a pillar of strength for the Royal family. He was like most of the Royals, interesting that he and David were so close however when David and Wallace were cut from the fold he didn't go out of his way for David.",neutral
These candies had a very stale flavor- did not taste like almond at all and they were definitely not fresh even though they were packaged pretty well.,negative
They sent me the wrong soze,negative
The logo was a tad distorted. Almost like it was out of focus... it’s also very soft. Def not an outside mat. More like a kitchen mat or interior door mat.,negative
I am disappointed in this product. I tried connecting the device to my phone several times. I even followed the instructions. I tried re-starting my phone and the device. Each time there wasn't any connection.,negative
This is just ok. There really is not enough weight to it to keep it securely in place against the bottom of the door. Had I not taken the packaging off I would’ve returned it to find something better.,neutral
"It did exactly what it said it would. I used to warm each tortilla on a griddle pan and then place on a plate covered with foil. Extras would be cold again by the time you wanted it. With the tortilla warmer, I was able to heat a whole pack at one time and they stayed warm the entire dinner.",positive
this is great works nice and easy,positive
"I like everything about it, well made,looks good,lettering done great,good directions for sealing the barrel. Just loved it so my husband he was so happy with it gave it for our anniversary. Definitely recommend it. Gonna order more in a future for my dad and brothers",positive
this is the worst can opener I ever bought .,negative
Interesting characters and mystery with a supernatural twist and some twisted characters included. Different than anything else I have enjoyed reading.,positive
Just what we needed for our Christmas game!,positive
It fit my tree and still had room for other decorations!,positive
"Poor quality, strap broke and has only been in use for 2 months. Not worth the money. Zippers are poor quality. Would not purchase again.",negative
"Item worked for a day then it stop, it doesnt even want to power on, waste of time",negative
Great replacement for my main pack.,positive
Its a small piece of plastic that makes your nalgene so much better. Drink without worry of spilling water all over yourself,positive
